2.067	0.676	-10718.476
1.519	0.507	-10711.407
-0.958	-1.851	-10683.098
-2.658	-4.513	-10665.289
-2.385	-5.153	-10676.856
-1.821	-3.629	-10679.353
-1.512	-0.968	-10676.310
-1.131	1.836	-10685.263
-1.490	2.103	-10673.650
-0.529	0.284	-10678.044
0.943	-1.697	-10686.907
1.057	-2.250	-10681.550
0.700	-2.137	-10670.493
0.261	-2.405	-10666.010
0.872	-3.284	-10677.147
0.456	-3.443	-10667.898
1.137	-0.883	-10671.570
0.665	0.426	-10664.848
1.496	0.193	-10676.971
1.321	-2.090	-10673.364
2.088	-2.606	-10690.279
3.353	-0.406	-10703.655
3.700	-0.100	-10708.007
4.328	-1.207	-10718.816
3.420	-0.305	-10712.651
2.703	-0.074	-10705.261
3.182	-1.089	-10712.122
3.749	-1.911	-10726.455
3.817	-0.713	-10736.142
4.475	-1.011	-10737.422
4.177	-1.347	-10733.503
3.136	0.328	-10722.279
2.164	-0.059	-10712.233
2.768	1.687	-10724.516
2.681	2.351	-10725.067
3.776	2.440	-10734.589
4.950	3.104	-10744.967
5.460	2.572	-10759.792
5.157	1.854	-10759.095
4.716	-0.898	-10741.832
4.809	-0.733	-10744.642
4.111	-0.354	-10730.439
3.507	-1.643	-10719.458
2.422	-0.310	-10710.109
2.480	1.133	-10712.077
1.559	1.009	-10708.059
1.543	1.845	-10704.860
2.813	2.104	-10710.032
3.618	1.861	-10713.407
3.000	0.316	-10706.631
1.780	-1.423	-10687.248
1.852	-1.966	-10689.620
2.552	-1.377	-10694.264
4.237	-1.113	-10713.777
3.213	0.110	-10706.667
2.928	1.969	-10712.969
2.871	2.766	-10716.920
1.663	1.320	-10703.305
0.028	0.303	-10691.402
-0.090	1.076	-10688.281
1.053	1.885	-10694.687
1.179	3.004	-10691.043
2.470	4.523	-10697.500
2.349	5.359	-10689.541
2.254	4.076	-10684.820
1.406	4.135	-10677.415
2.183	5.618	-10688.261
2.826	4.151	-10700.580
1.049	2.972	-10679.509
1.993	1.142	-10692.372
1.398	0.995	-10695.232
-0.848	1.987	-10678.110
-2.518	2.282	-10668.109
-2.097	2.946	-10685.198
-2.109	2.127	-10698.289
-1.050	3.007	-10717.314
1.398	2.037	-10750.347
1.171	0.203	-10750.815
1.057	0.114	-10748.372
0.813	-0.292	-10753.919
0.513	0.141	-10746.524
-0.000	1.857	-10731.934
-0.305	0.216	-10728.316
-1.028	0.674	-10722.044
-0.998	0.334	-10717.555
-2.093	-1.673	-10706.868
-2.632	-2.788	-10716.835
-3.182	-2.008	-10721.144
-2.556	-0.311	-10737.000
-0.377	-0.817	-10749.890
0.598	-1.718	-10746.318
1.326	-1.097	-10749.352
-0.096	0.307	-10736.663
-1.070	0.651	-10719.437
-0.506	-0.782	-10728.885
0.438	-1.404	-10749.172
0.672	-1.599	-10739.367
-0.809	-0.456	-10730.934
-1.497	-0.016	-10740.768
-2.430	-1.709	-10746.525
-2.410	-2.467	-10750.030
-3.527	-2.313	-10737.727
-3.663	-1.353	-10747.297
-2.685	0.132	-10755.914
-3.191	0.582	-10743.072
-2.836	-0.604	-10734.597
-1.198	-0.398	-10741.039
-0.852	0.961	-10744.225
-0.726	1.282	-10743.672
1.129	0.950	-10752.938
-0.195	-0.478	-10725.338
-1.456	-0.685	-10698.531
-1.605	-1.843	-10701.479
-2.136	-2.444	-10710.349
-1.696	-2.728	-10708.841
-1.439	-1.557	-10711.625
-0.212	-2.561	-10725.468
-0.838	-3.877	-10713.783
-0.886	-2.135	-10714.340
-1.572	-1.579	-10711.970
-1.703	0.213	-10720.957
-0.526	-0.049	-10745.425
1.188	-1.009	-10766.374
-0.321	-1.151	-10759.503
-0.852	-1.621	-10757.563
1.492	-1.855	-10783.938
2.135	-1.549	-10784.018
3.249	-2.665	-10784.391
3.144	-3.343	-10776.810
3.370	-2.410	-10773.051
3.277	-1.890	-10774.305
2.016	-0.560	-10781.071
0.670	0.985	-10786.639
0.485	1.936	-10784.677
0.572	1.592	-10772.063
0.702	1.888	-10769.868
1.045	1.377	-10777.266
1.712	1.628	-10785.239
2.301	1.405	-10771.289
3.001	0.235	-10763.698
2.414	0.313	-10755.102
3.142	-0.454	-10755.075
3.452	-1.423	-10750.749
1.212	-1.680	-10733.814
2.010	-0.201	-10744.243
4.049	0.175	-10759.531
3.791	-0.953	-10755.536
2.780	-0.991	-10735.610
1.505	0.289	-10727.905
1.598	1.443	-10736.071
2.331	2.152	-10743.100
3.451	3.002	-10754.290
3.854	3.479	-10750.032
4.766	0.666	-10751.139
4.759	-1.274	-10753.615
4.722	-1.160	-10765.854
5.622	0.293	-10788.542
5.605	0.655	-10790.545
3.150	1.459	-10773.818
1.361	1.890	-10749.183
0.099	3.371	-10732.831
0.574	3.335	-10746.766
1.085	2.144	-10733.832
1.204	2.253	-10730.817
1.046	1.670	-10741.897
1.897	2.580	-10760.503
2.050	2.224	-10762.678
1.073	1.636	-10741.344
1.299	1.072	-10733.997
0.574	0.186	-10721.683
0.394	0.017	-10721.393
0.728	0.711	-10720.477
0.866	-0.324	-10724.287
0.178	-1.155	-10720.671
0.193	-0.694	-10731.581
0.024	-0.424	-10733.364
1.366	-1.146	-10729.318
2.301	-1.455	-10734.207
2.407	-0.451	-10732.019
2.282	-0.668	-10733.116
4.219	0.689	-10758.302
6.553	1.784	-10771.435
6.681	1.112	-10767.582
5.597	-0.229	-10741.989
5.851	-1.525	-10729.320
6.101	-2.433	-10717.212
5.392	-2.323	-10695.404
5.283	-2.478	-10690.492
3.679	-3.191	-10672.583
